_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
65e14c1ad7bfb8ea57c63d57,,74.33,97.89,74.33,72.55,93;0;0;0,time,15,-1,0,15.01,0,0,false,false,indonesian,,normal,false,false,false,,1709263898000
65e14c0ad7bfb8ea57c63ccd,,63.17,89.36,68.77,66.81,79;2;0;0,time,15,-1,2,15.01,0,3.08,false,false,indonesian,,normal,false,false,false,,1709263882000
65e060b42c98ce4374569cad,,82.35,98.1,82.35,70.49,103;0;0;0,time,15,-1,1,15.01,0,3.5,false,false,indonesian,,normal,false,false,false,,1709203636000
65e0609c2c98ce4374569be5,,74.36,93.94,74.36,76.01,93;0;0;0,time,15,-1,0,15.01,0,0,false,false,indonesian,,normal,false,false,false,,1709203612000
65e0608c2c98ce4374569b62,,69.52,94.79,74.31,70.47,87;2;0;1,time,15,-1,3,15.02,0,1.44,false,false,indonesian,,normal,false,false,false,,1709203596000
65e04fd82c98ce437455fb30,,59.17,91.86,64.76,71.19,74;2;0;0,time,15,-1,0,15.01,0,0,false,false,indonesian,,normal,false,false,false,,1709199320000
65dd60872c98ce437436bedd,,87.14,98.2,87.14,79.78,109;0;0;0,time,15,-1,4,15.01,0,11.44,false,false,indonesian,,normal,false,false,false,,1709006983000
65d6c0b42c98ce4374f895de,,80.78,100,80.78,83.31,101;0;0;0,time,15,-1,4,15,0,21.11,false,false,indonesian,,normal,false,false,false,,1708572852000
65ce88bb2c98ce4374ac3cfb,,62.37,90.91,62.77,64.06,156;1;0;0,time,30,-1,0,30.02,0,0,false,false,indonesian,,normal,false,false,false,,1708034235000
65ce889b2c98ce4374ac3bb5,,65.57,94.8,65.57,66,164;0;0;0,time,30,-1,2,30.01,0,9.98,false,false,indonesian,,normal,false,false,false,,1708034203000
65ce88702c98ce4374ac3a03,,63.18,91.43,63.18,67.76,158;0;0;0,time,30,-1,0,30.01,0,0,false,false,indonesian,,normal,false,false,false,,1708034160000
65afe63cae13999a06515e60,,75.98,94.84,79.18,72.22,190;0;0;1,time,30,-1,0,30.01,0,0,false,false,indonesian,,normal,false,false,false,,1706026556000
658e43a2a65b7d25a16f6da9,,54.78,87.88,57.98,53.65,137;5;0;5,time,30,-1,0,30.01,1,0,false,false,indonesian,,normal,false,false,false,,1703822242000
6582905ba65b7d25a1136a79,true,77.17,96.04,77.17,65.72,193;0;0;0,time,30,-1,1,30.01,0,16.4,false,false,indonesian,,normal,false,false,false,,1703055451000
6580fef5b8703f30652beed9,,69.59,94.39,69.59,63.85,174;0;0;0,time,30,-1,0,30,0,0,false,false,indonesian,,normal,false,false,false,,1702952693000
6576b2696dbc38d1311890fc,true,69.29,94.07,69.29,65.07,693;0;0;0,time,120,-1,0,120.01,0,0,false,false,indonesian,,normal,false,false,false,,1702277737000
6576b1da6dbc38d131188c9e,,76.38,96.95,76.38,70.14,191;0;0;0,time,30,-1,1,30.01,0,1.33,false,false,indonesian,,normal,false,false,false,,1702277594000
6576b0dc6dbc38d1311884aa,,73.99,95.5,76.39,73.36,185;0;1;0,time,30,-1,1,30,0,6.48,false,false,indonesian,,normal,false,false,false,,1702277340000
65768e276dbc38d1311769da,,68.39,92.06,68.39,61.98,171;0;0;0,time,30,-1,0,30.01,0,0,false,false,indonesian,,normal,false,false,false,,1702268455000
656e7a697275ef81404a9674,,60,90.42,60,53.75,150;0;0;0,time,30,-1,1,30,0,1.65,false,false,indonesian,,normal,false,false,false,,1701739113000
656e7a427275ef81404a9551,,69.17,93.62,69.17,59.46,173;0;0;0,time,30,-1,0,30.01,0,0,false,false,indonesian,,normal,false,false,false,,1701739074000
656e78ae7275ef814042b95b,,69.98,93.12,69.98,68.48,175;0;0;0,time,30,-1,0,30.01,0,0,false,false,indonesian,,normal,false,false,false,,1701738670000
656950567275ef8140a75987,,69.18,93.68,71.18,65.34,173;1;0;0,time,30,-1,2,30.01,0,3.25,false,false,indonesian,,normal,false,false,false,,1701400662000
6565a8bd59405040bdf66cb2,,67.98,93.44,68.78,65.53,170;1;0;0,time,30,-1,0,30.01,0,0,false,false,indonesian,,normal,false,false,false,,1701161149000
655c07270d82cb4950270dec,,61.17,91.18,61.17,53.3,153;0;0;0,time,30,-1,1,30.01,0,7.86,false,false,indonesian,,normal,false,false,false,,1700529959000
6556bd9427c5c14c2cb3cf75,,69.58,94.09,69.58,60.43,174;0;0;0,time,30,-1,0,30.01,0,0,false,false,indonesian,,normal,false,false,false,,1700183444000
6556bd7427c5c14c2cb3ce7e,,67.18,91.79,72.38,61.56,168;3;0;0,time,30,-1,4,30.01,0,3.4,false,false,indonesian,,normal,false,false,false,,1700183412000
